Skin type,Concern,Sensitivity,Fragrance Preference,Degree of Concern,Product Link,"Rating (Not recommended, OK, Great, Excellent) ",What active ingredient (or ingredients) are present for the concern?,"If there is fragrance in the product, is it impacting the rating? (put N/A if no fragrance) "
Oily,Aging,Yes,Don't care,Severe,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-cashmere-moisturizer-P467750?skuId=2744316&icid2=products grid:p467750:product,Not recommended,,Yes
Oily,Aging,No,No fragrance,Medium,https://www.sephora.com/product/first-aid-beauty-ultra-repair-firming-collagen-cream-with-peptides-niacinamide-P468821?skuId=2417269&icid2=products grid:p468821:product,Great,"Niacinamide, Squalene, Ceramide NP, Pentapeptide-34 Trifluoroacetate, Saccharomyces Ferment, Chrysanthemum Parthenium (Feverfew) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, and Camellia Sinensis Leaf Extract",N/A
Oily,Aging,No,Don't care,Medium,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,Great,"Acetyl Hexapeptide-8, Squalene, Hydrolyzed Ginseng Saponins (Enzyme-Treated Red Ginseng Saponins), Retinol, sodium hyaluronate, Acetyl Octapeptide-3, Ascorbyl palmitate. ",Yes
Oily,Aging,Yes,Yes fragrance,Medium,https://www.sephora.com/product/fresh-black-tea-anti-aging-moisturizer-with-retinol-alternative-bt-matrix-P503936?skuId=2636660&icid2=products grid:p503936:product,Ok,,Yes
Combination,Oiliness,No,Don't care,Mild,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,Great,"Niacinamide, Magnesium sulfate, Citric acid",N/A
Combination,Oiliness,Yes,Don't care,Severe,https://www.sephora.com/product/the-moisturizing-matte-lotion-P421249?skuId=1982057&icid2=products grid:p421249:product,Ok,,Yes
Combination,Oiliness,No,Yes fragrance,Severe,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,Excellent,"Niacinamide, Magnesium sulfate, Citric acid",N/A
Combination,Oiliness,Yes,Yes fragrance,Medium,https://www.sephora.com/product/herbivore-botanicals-aquarius-pore-purifying-clarity-cream-P474325?skuId=2469112&icid2=products grid:p474325:product,Great,"Salix Nigra (Willow) Bark Extract, Zinc PCA, Hamamelis Virginiana (Witch Hazel) Extract",N/A
Combination,Oiliness,Yes,No fragrance,Medium,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,Excellent,"Hyaluronic acid, Niacinamide, sodium hyaluronate",N/A
Combination,Oiliness,No,Don't care,Mild,https://www.sephora.com/product/herbivore-botanicals-aquarius-pore-purifying-clarity-cream-P474325?skuId=2469112&icid2=products grid:p474325:product,Excellent,"Salix Nigra (Willow) Bark Extract, Zinc PCA, Hamamelis Virginiana (Witch Hazel) Extract",N/A
Combination,Oiliness,No,Yes fragrance,Medium,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,Excellent,"Niacinamide, Magnesium sulfate, Citric acid",N/A
Combination,Acne,No,Yes fragrance,Severe,https://www.sephora.com/product/the-inkey-list-supersolutions-acne-clearing-moisturizer-2-novoretin-P506554?skuId=2673333&icid2=products grid:p506554:product,Great,"Retinol, sulfur 3%, sodium hyaluronate",N/A
Combination,Acne,No,Don't care,Medium,https://www.sephora.com/product/the-inkey-list-c-50-blemish-night-treatment-P469544?skuId=2425080&icid2=products grid:p469544:product,Ok,,N/A
Combination,Acne,No,No fragrance,Severe,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Not recommended,,Yes
Combination,Acne,Yes,Yes fragrance,Medium,https://www.sephora.com/product/the-inkey-list-c-50-blemish-night-treatment-P469544?skuId=2425080&icid2=products grid:p469544:product,Ok,,N/A
Combination,Acne,No,No fragrance,Medium,https://www.sephora.com/product/kiehls-expertly-clear-moisturizer-for-acne-prone-skin-with-salicylic-acid-P509461?skuId=2734788&icid2=products grid:p509461:product,Great,"Salicylic acid, Niacinamide",N/A
Combination,Acne,Yes,No fragrance,Medium,https://www.sephora.com/product/the-inkey-list-supersolutions-acne-clearing-moisturizer-2-novoretin-P506554?skuId=2673333&icid2=products grid:p506554:product,Ok,,N/A
Combination,Acne,Yes,Yes fragrance,Severe,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Not recommended,,Yes
