Skin type,Concern,Sensitivity,Fragrance Preference,Degree of Concern,Product Link,"Rating (Not recommended, OK, Great, Excellent) ",What active ingredient (or ingredients) are present for the concern?,"If there is fragrance in the product, is it impacting the rating? (put N/A if no fragrance) "
Dry,Acne,Yes,Don't care,Medium,https://www.sephora.com/product/the-inkey-list-supersolutions-acne-clearing-moisturizer-2-novoretin-P506554?skuId=2673333&icid2=products grid:p506554:product,Ok,,N/A
Dry,Acne,Yes,Don't care,Mild,https://www.sephora.com/product/kiehls-expertly-clear-moisturizer-for-acne-prone-skin-with-salicylic-acid-P509461?skuId=2734788&icid2=products grid:p509461:product,Great,"Salicylic acid, Niacinamide ",N/A
Dry,Acne,No,Don't care,Severe,https://www.sephora.com/product/the-inkey-list-c-50-blemish-night-treatment-P469544?skuId=2425080&icid2=products grid:p469544:product,Ok,,N/A
Dry,Acne,No,No fragrance,Severe,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Not recommended,,Yes
Dry,Acne,No,Yes fragrance,Severe,https://www.sephora.com/product/u-f-o-ultra-clarifying-face-oil-P410400?skuId=1842251&icid2=products grid:p410400:product,Great,"Nigella Sativa (Black Cumin) Seed Oil, Salicylic Acid, Prunus Armeniaca (Apricot) Kernel Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil",Yes
Dry,Aging,No,Yes fragrance,Mild,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,Great,"Acetyl Hexapeptide-8, Squalene, Hydrolyzed Ginseng Saponins (Enzyme-Treated Red Ginseng Saponins), Retinol, sodium hyaluronate, Acetyl Octapeptide-3, Ascorbyl palmitate. ",Yes
Dry,Aging,Yes,Yes fragrance,Mild,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Ok,,Yes
Dry,Aging,Yes,Don't care,Medium,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Ok,,Yes
Dry,Aging,No,No fragrance,Severe,https://www.sephora.com/product/fresh-black-tea-anti-aging-moisturizer-with-retinol-alternative-bt-matrix-P503936?skuId=2636660&icid2=products grid:p503936:product,Not recommended,,Yes
Dry,Aging,No,Don't care,Mild,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,Great,"Acetyl Hexapeptide-8, Squalene, Hydrolyzed Ginseng Saponins (Enzyme-Treated Red Ginseng Saponins), Retinol, sodium hyaluronate, Acetyl Octapeptide-3, Ascorbyl palmitate. ",Yes
Dry,Aging,Yes,Don't care,Mild,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Ok,,Yes
Dry,Aging,Yes,No fragrance,Mild,https://www.sephora.com/product/fresh-black-tea-anti-aging-moisturizer-with-retinol-alternative-bt-matrix-P503936?skuId=2636660&icid2=products grid:p503936:product,Not recommended,,Yes
