Skin type,Concern,Sensitivity,Fragrance Preference,Degree of Concern,"Rating (Not recommended, OK, Great, Excellent)",Product Link Copy,Skin_Type_P,Skincare_Concerns_P,Fragrance_Free_P,Cleaned_Skin_Type,Cleaned_Skincare_Concerns
Oily,Dark Spots,No,Yes fragrance,Medium,Great,https://www.sephora.com/product/major-fade-active-seal-dark-spot-vitamin-c-gel-moisturizer-P510561?skuId=2647568&icid2=products grid:p510561:product,"Normal, Dry, Combination, and Oily","Dark Spots, Fine Lines and Wrinkles, and Dullness",True,"combination,dry,normal,oily","Aging, Dark Spots"
Oily,Aging,Yes,No fragrance,Medium,Not recommended,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-cashmere-moisturizer-P467750?skuId=2744316&icid2=products grid:p467750:product,"Normal, Dry","Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",True,"dry,normal","Aging, Dryness"
Oily,Aging,No,No fragrance,Mild,Not recommended,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Normal and Dry,"Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",False,"dry,normal","Aging, Dryness"
Oily,Aging,Yes,Yes fragrance,Severe,Ok,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-cashmere-moisturizer-P467750?skuId=2744316&icid2=products grid:p467750:product,"Normal, Dry","Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",True,"dry,normal","Aging, Dryness"
Oily,Aging,Yes,Don't care,Severe,Not recommended,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-cashmere-moisturizer-P467750?skuId=2744316&icid2=products grid:p467750:product,"Normal, Dry","Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",True,"dry,normal","Aging, Dryness"
Oily,Aging,No,No fragrance,Medium,Great,https://www.sephora.com/product/first-aid-beauty-ultra-repair-firming-collagen-cream-with-peptides-niacinamide-P468821?skuId=2417269&icid2=products grid:p468821:product,"Normal, Dry, and Combination","Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",True,"combination,dry,normal","Aging, Dryness"
Oily,Aging,No,Don't care,Medium,Great,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Dryness, Dullness, Uneven Texture, and Loss of Firmness and Elasticity",False,"combination,dry,normal,oily","Aging, Dryness"
Oily,Aging,Yes,Yes fragrance,Medium,Ok,https://www.sephora.com/product/fresh-black-tea-anti-aging-moisturizer-with-retinol-alternative-bt-matrix-P503936?skuId=2636660&icid2=products grid:p503936:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Uneven Texture, and Loss of Firmness and Elasticity",False,"combination,dry,normal,oily",Aging
Combination,Oiliness,No,Don't care,Mild,Great,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,"Normal, Dry, Combination, and Oily","Dryness, Uneven Texture and Oiliness",False,"combination,dry,normal,oily","Dryness, Oiliness"
Combination,Oiliness,Yes,Don't care,Severe,Ok,https://www.sephora.com/product/the-moisturizing-matte-lotion-P421249?skuId=1982057&icid2=products grid:p421249:product,Oily,"Oiliness, Pores, Fine lines and wrinkles",False,oily,"Aging, Oiliness"
