Skin type,Concern,Sensitivity,Fragrance Preference,Degree of Concern,"Rating (Not recommended, OK, Great, Excellent)",Product Link Copy,Skin_Type_P,Skincare_Concerns_P,Fragrance_Free_P,Cleaned_Skin_Type,Cleaned_Skincare_Concerns
Dry,Dryness,No,Don't care,Mild,Excellent,https://www.sephora.com/product/ultra-repair-cream-intense-hydration-P248407?skuId=1217744&icid2=products grid:p248407:product,"Normal, Dry, and Combination","Dryness, Fine Lines and Wrinkles, and Redness",True,"combination,dry,normal","Aging, Dryness"
Dry,Dryness,No,No fragrance,Mild,Ok,https://www.sephora.com/product/belif-the-true-cream-aqua-bomb-with-hyaluronic-acid-niacinamide-P510117?skuId=2742674&icid2=products grid:p510117:product,"['oily', 'combination', 'dry', 'normal']",Dryness,False,"combination,dry,normal,oily",Dryness
Dry,Dryness,No,No fragrance,Mild,Great,https://www.sephora.com/product/ultra-facial-cream-P421996?skuId=2663763&icid2=products grid:p421996:product,"Normal, Dry, Combination, and Oily",Dryness and Dullness,True,"combination,dry,normal,oily",Dryness
Dry,Dryness,Yes,Don't care,Medium,Ok,https://www.sephora.com/product/laneige-water-bank-blue-hyaluronic-cream-moisturizer-P482693?skuId=2735843&icid2=products grid:p482693:product,Normal and Dry,"Dryness, Dullness, and Loss of Firmness and Elasticity",True,"dry,normal","Aging, Dryness"
Dry,Dark Spots,No,Yes fragrance,Medium,Great,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Normal and Dry,"Dark Spots, Dryness, and Dullness",False,"dry,normal","Dark Spots, Dryness"
Dry,Dark Spots,Yes,Don't care,Severe,Great,https://www.sephora.com/product/major-fade-active-seal-dark-spot-vitamin-c-gel-moisturizer-P510561?skuId=2647568&icid2=products grid:p510561:product,"Normal, Dry, Combination, and Oily","Dark Spots, Fine Lines and Wrinkles, and Dullness",True,"combination,dry,normal,oily","Aging, Dark Spots"
Dry,Dark Spots,No,No fragrance,Medium,Excellent,https://www.sephora.com/product/c5-super-boost-vitamin-c-moisturizer-P501282?skuId=2533529&icid2=products grid:p501282:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Dullness, and Loss of Firmness and Elasticity",True,"combination,dry,normal,oily",Aging
Dry,Dark Spots,Yes,No fragrance,Mild,Not recommended,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Normal and Dry,"Dark Spots, Dryness, and Dullness",False,"dry,normal","Dark Spots, Dryness"
Dry,Dark Spots,No,No fragrance,Mild,Great,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Normal and Dry,"Dark Spots, Dryness, and Dullness",False,"dry,normal","Dark Spots, Dryness"
Dry,Dark Spots,Yes,Yes fragrance,Medium,Ok,https://www.sephora.com/product/c-rush-tm-brightening-gel-cr-me-P430337?skuId=2071751&icid2=products grid:p430337:product,"['combination', 'dry']","Dullness and uneven texture, Dryness, Fine lines and wrinkles",False,"combination,dry","Aging, Dryness"
Dry,Dark Spots,No,Don't care,Severe,Great,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,"Normal, Dry, Combination, and Oily","Pores, Dryness, and Dullness",,"combination,dry,normal,oily",Dryness
Dry,Acne,Yes,Yes fragrance,Severe,Ok,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Combination and Oily,"Pores, Acne and Blemishes, and Oiliness",False,"combination,oily","Acne, Oiliness"
Dry,Acne,Yes,No fragrance,Medium,Not recommended,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Combination and Oily,"Pores, Acne and Blemishes, and Oiliness",False,"combination,oily","Acne, Oiliness"
Dry,Acne,Yes,Don't care,Medium,Ok,https://www.sephora.com/product/the-inkey-list-supersolutions-acne-clearing-moisturizer-2-novoretin-P506554?skuId=2673333&icid2=products grid:p506554:product,"Normal, Dry, Combination, and Oily","Dryness, Uneven Texture, and Acne/Blemishes",,"combination,dry,normal,oily","Acne, Dryness"
Dry,Acne,Yes,Don't care,Mild,Great,https://www.sephora.com/product/kiehls-expertly-clear-moisturizer-for-acne-prone-skin-with-salicylic-acid-P509461?skuId=2734788&icid2=products grid:p509461:product,"Normal, Dry, Combination, and Oily","Dryness, Uneven Texture, and Acne and Blemishes.",True,"combination,dry,normal,oily","Acne, Dryness"
Dry,Acne,No,Don't care,Severe,Ok,https://www.sephora.com/product/the-inkey-list-c-50-blemish-night-treatment-P469544?skuId=2425080&icid2=products grid:p469544:product,"Normal, Dry, Combination, and Oily","Pores, Uneven Texture, and Acne and Blemishes",True,"combination,dry,normal,oily",Acne
Dry,Acne,No,No fragrance,Severe,Not recommended,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Combination and Oily,"Pores, Acne and Blemishes, and Oiliness",False,"combination,oily","Acne, Oiliness"
Dry,Acne,No,Yes fragrance,Severe,Great,https://www.sephora.com/product/u-f-o-ultra-clarifying-face-oil-P410400?skuId=1842251&icid2=products grid:p410400:product,"Normal Oily
 Combination Dry  Sensitive",Acne and Pores,True,"combination,dry,normal,oily,sensitive",Acne
Dry,Aging,No,Yes fragrance,Mild,Great,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Dryness, Dullness, Uneven Texture, and Loss of Firmness and Elasticity",False,"combination,dry,normal,oily","Aging, Dryness"
Dry,Aging,Yes,Yes fragrance,Mild,Ok,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Normal and Dry,"Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",False,"dry,normal","Aging, Dryness"
Dry,Aging,Yes,Don't care,Medium,Ok,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Normal and Dry,"Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",False,"dry,normal","Aging, Dryness"
Dry,Aging,No,No fragrance,Severe,Not recommended,https://www.sephora.com/product/fresh-black-tea-anti-aging-moisturizer-with-retinol-alternative-bt-matrix-P503936?skuId=2636660&icid2=products grid:p503936:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Uneven Texture, and Loss of Firmness and Elasticity",False,"combination,dry,normal,oily",Aging
Dry,Aging,No,Don't care,Mild,Great,https://www.sephora.com/product/sulwhasoo-ginseng-renewing-cream-original-reform-P481833?skuId=2534964&icid2=products grid:p481833:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Dryness, Dullness, Uneven Texture, and Loss of Firmness and Elasticity",False,"combination,dry,normal,oily","Aging, Dryness"
Dry,Aging,Yes,Don't care,Mild,Ok,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Normal and Dry,"Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity",False,"dry,normal","Aging, Dryness"
Dry,Aging,Yes,No fragrance,Mild,Not recommended,https://www.sephora.com/product/fresh-black-tea-anti-aging-moisturizer-with-retinol-alternative-bt-matrix-P503936?skuId=2636660&icid2=products grid:p503936:product,"Normal, Dry, Combination, and Oily","Fine Lines and Wrinkles, Uneven Texture, and Loss of Firmness and Elasticity",False,"combination,dry,normal,oily",Aging
